,sentence,intent
3057,anyone finds neta behavior funny fuck di,Hate
3058,b album definitely worth fucking wait,No Hate
3059,days bbc radio festival day decide tell us headline act coming anymore thanks lot paid fortune see tonne acts shit interest,Hate
3060,nobody shit ask includ,No Hate
3061,age progressives demand full transparency issues matter immigration gay marriage gun control hillary wrong side url,No Hate
3062,grown ass woman probably years older currently spreading rumors rather talking nice work got satan,No Hate
3063,retweet would like share memes talk dumb shit cuz baby broke shit love rich url,No Hate
3064,retweet would like share memes talk dumb shit cuz baby broke shit love rich url,No Hate
3065,dickhead probably y,No Hate
3066,cr tikal voice smef ass cheek,Hate
3067,low pay lack housing wages falling unaffordable rents crisis crap railways empty shops deal exit eu short years completely fucked uk,Hate
3068,days bbc radio festival day decide tell us headline act coming anymore thanks lot paid fortune see tonne acts shit interest,Hate
3069,lost acca first fucking fight cba,No Hate
3070,hell think,No Hate
3071,niggas podcasts youtube channels dedicated shit getting solved url,No Hate
3072,anytime randomly bust laughing remembered dumb shit albria said,No Hate
3073,go check girl thecanncierge takes bomb photos drops hell lot knowledge canncierge pot stock url,No Hate
3074,alex jones smokin dicks mans really got support,No Hate
3075,nigga stupid trash dont play play bitch,No Hate
3076,nigga stupid trash dont play play bitch,No Hate
3077,opinion keeping beef know cardi slow believe everything says meal ticket think need sit ugly ass,Hate
3078,guess swamp ass origin,Hate
3079,wake socialist mesmerizing weak minded state texas crying loud places embody american spirit individual freedom texas standard bearer make damn stand great senator url,No Hate
3080,nyfw cause class act getcho wack ass outta url,Hate
3081,goes bottle floor water dripping snapped trying cool pissed something sure stay tun,Hate
3082,sick ass ppl school gave something chug nasty drink go away,Hate
3083,phone fucking dumb,Hate
3084,tell vampire threaten eat get asses shrugs problem,No Hate
3085,oh fuck,No Hate
3086,beats hell nj lol dude already made assumption antifa even ignored evidence make assumpt,No Hate
3087,browning looked like dog shit fcs school point,Hate
3088,people unfollowed talking merlin sorry im still covinsky ass im waiting psisly sequel announcement ive run witty funny tweets tatbilb drain,No Hate
3089,zac brown fenway tickets pretty shitti,Hate
3090,maybe need bill says lawmakers use public restroom karma bitch,No Hate
3091,haha got new shit,No Hate
3092,im done nice guy fuck shit,Hate
3093,best one since empire emotional resonance tried though holy shit tri,No Hate
3094,prefer fuck shit happen,No Hate
3095,prefer fuck shit happen,No Hate
3096,lucious gonna get ass handed tonight see com,No Hate
3097,worst nightmare clients hell via,No Hate
3098,bouta shut nigga way,Hate
3099,mean knew someone gonna die geez think hell bent breaking heart,No Hate
3100,especially want talk could use extra love right especially shit show week,Hate
3101,guy philosophy class needs shut fuck via,Hate
3102,fucked tatoost via,No Hate
3103,hey smoke pot get fuck people love weed stop wont stop,Hate
3104,said yrs liar watch show need help nobody want old stale ugly dried ass,Hate
3105,gee thanks amber alert scaring hel,No Hate
3106,like dude get im pretty sure got enough lips ass already running outta spac,Hate
3107,crazy fucks fatigues shooting people america time start checking id military cloth,Hate
3108,shit gettin seri,No Hate
3109,pissed found seed cutie stand,No Hate
3110,snatched ass,No Hate
3111,okay spotify adblock etc created culture total entitlement creative work shit,Hate
3112,wtf hell defense get field,Hate
3113,rude ass bitches iknow makes females hate fml,Hate
3114,ok knicks winning dont fuck dont fuck kill lebron dont care garbage basketbal,No Hate
3115,eu fuck,No Hate
3116,fuck replays fancy name live programming like need,No Hate
3117,bullshit radar full force today,No Hate
3118,basically prostituting cheeto pussy grabb,No Hate
3119,bad motherfucker make man,Hate
3120,gained ten pounds summer damn l l,No Hate
3121,life short call bullshit se,No Hate
3122,rappers make money fucking already corrupted society even soooo want lik,No Hate
3123,say future trunks current day trunks smart ass hardened alternate vers,No Hate
3124,friends cat heat becoming little whor,No Hate
3125,mike pence mocks media coverage trump sh really fun watch breitbart via,No Hate
3126,tweeted week long definitely must place reserved twitter hel,No Hate
3127,holy shit lmaooooo funnier upon time page asking follow instagram lmao,No Hate
3128,fighting like hell livestrong day via,No Hate
3129,damn shame eats tacos that,No Hate
3130,called ass yesterday whats new,No Hate
3131,wreck murder white supremacy sent hell damning sin cal,No Hate
3132,go get gas mom mean go kick ass,No Hate
3133,lol yup still bs lol rowdy said fuck hairlin,No Hate
3134,looks like says ass clown,No Hate
3135,dwp making life hell right horrible day wish bastards would leave alon,No Hate
3136,lmao yeah cause bitch sing character sings gam,No Hate
3137,taylor soon know handle holy fuck,No Hate
3138,kinda pissed aatt awesome guess wait someone posts believ,No Hate
3139,put like songs dat bitch lol,No Hate
3140,even know fuck go,No Hate
3141,damn wonder hate friend zoned shit,No Hate
3142,good time stubborn fucking hate piece shit smark fuck tna,Hate
3143,alberto shit got called wrote apolo,No Hate
3144,haha shit game ya,No Hate
3145,never seen movie tiffany said elements king lear arthur kennedy like edmund bastard,No Hate
3146,bob beckel bullshit makes show unwatchable least juan pleasant idioci,Hate
3147,hell yeah,No Hate
3148,bet pissed right,No Hate
3149,set creepy bastard scare coworkers ended forgetting scar,Hate
3150,chance play tie fighter hell y,No Hate
3151,good riddance fake ass pos fake news like fake ass phd,Hate
3152,editing trickshots n shit w shots via,No Hate
3153,fuck let try famous free play dating sim,No Hate
3154,time kick ass,No Hate
3155,ass ass ass,No Hate
3156,really need fuck shit fixing country income inequality problems first,No Hate
3157,want fuck sammy right pussi,Hate
3158,tennessee fight like hell setlist saturday plz,No Hate
3159,might bitch fit sick bullshit wanna talk blow fuck,No Hate
3160,chat shit get bang,No Hate
3161,told working watch try pull e dick make change mind,No Hate
3162,fyi beating newbie fine laughing friend earshot said newbie makes dick,Hate
3163,shut fag lov,Hate
3164,mites men damn like seeing dr blake powerless like senator ngyuen,No Hate
3165,professor purdue owl website assist greatly writing purdue owl website shit,Hate
3166,shit left cover two months free rent think really needs said,No Hate
3167,make made years hel,No Hate
3168,hell get little shit,No Hate
3169,since u dj play mash ups bitch lol,No Hate
3170,got mad intervention cuz addict saving appear fucked enough tv,No Hate
3171,matter take look around christmas shit everywher,No Hate
3172,putting santa gifts tree disappointed bastard outsourced work instead,No Hate
3173,girls shaving hair vain worry people talking shit,No Hate
3174,lol shit one whose full name mic joke anyway,No Hate
3175,fuck let celebrate every country holiday,No Hate
3176,turtle named zuccs bad ass little guy like love zucc,No Hate
3177,ambassababes cute ambassador boys hell yea,No Hate
3178,sad al michaels end apologizing sjws shit women defend hissy fit,No Hate
3179,hahahahaha bitch fucking scari,No Hate
3180,worst debate ever thanks moderators shitty job,Hate
3181,nicki need new choreography though shes doin exxact shit video,No Hate
3182,body hurt better stress sickness time shit,No Hate
3183,fuck mom tiny sweet pussi,Hate
3184,damn difficult question liked grow,No Hate
3185,clients hell via,No Hate
3186,holy shit thought never say back streaming much happened apologize month vac,No Hate
3187,hell wheels tv loves back watch tv earn points get reward,No Hate
3188,actually get watch also know gonna sad less new ep damn weath,No Hate
3189,would change asshole genius one world would troll life outta cheating ex,Hate
3190,hate people cancer center reek cigarettes like know right fucking asshol,Hate
3191,really needing motivation stay uni busting ass still failing everyth,No Hate
3192,lucky bitch,No Hate
3193,grief tricky tricky bastard,Hate
3194,talkin rich skank filled like sperm bank,Hate
3195,stop cryin damn got foul gotta see tha shit befo cal,No Hate
3196,watching nightmare elm street meth acid kids bitch gonna sleep psycho,No Hate
3197,damn havnt twitter forever almost forgot shit busy facebook otha shit,No Hate
3198,aries friend today gonna fuck shit remember drop soap later jail,No Hate
3199,think day gone shit things start look,No Hate
3200,fuck everyth,Hate
3201,wait st official candidate wtf posting shit month,No Hate
3202,gotta get shit together rn,No Hate
3203,bowman mugged roddy bullshit,Hate
3204,unholy hell going bell cooti,No Hate
3205,lookin forward seeing kick ass,No Hate
3206,like continue say yall crazy letting stupid ass presid,Hate
3207,think serious think full shit hkm w llh wkhtshi,Hate
3208,photo ass dad heard u talkin shit,No Hate
3209,ol girl like imagination talking shit know real reason,Hate
3210,hell wind imbecile djt,No Hate
3211,hell yeah,No Hate
3212,literally never coming room everyone fuck,No Hate
3213,sitting heathrow hoping flight able take damn snow storms new york,No Hate
3214,jcarp huge dick,No Hate
3215,damn,No Hate
3216,naw stats decides pop unexpectedly marketing analysis class sitting wondering hell got,No Hate
3217,bad thought tell go hell exactly came brigham young,No Hate
3218,damn,No Hate
3219,death cab cutie frontman gave jay z ultimate f ck,No Hate
3220,like fuck none shit happened watched freakshow,No Hate
3221,hot outside know hot outside cuz ass staying insid,No Hate
3222,half fandom anything pick balls floor get ass youtub,No Hate
3223,wondering blocking guy block ass deserve tim,No Hate
3224,talk shit walk shit pills weed shit,No Hate
3225,fucking lakers pick fuck,Hate
3226,new video edited look guy stroking cock safe work,No Hate
3227,kinda fucked treated like gave everything never gave shit,No Hate
3228,prolonging horrible experience taking cold medication like fuck enough pain,No Hate
3229,colton turner mother plead guilty animal abuse suffocating horse yo texas fuck cp,No Hate
3230,whore nothing sorry never change paramore need get new cd asap,Hate
3231,damn feels lik,Hate
3232,sleepless gotta fuck yeah perfect time watch expendables back back,No Hate
3233,liked video take knee ass,No Hate
3234,awww miss much hurry get ass home hope still white black,No Hate
3235,fuck rain memorial day bbq moms house come thru bor,No Hate
3236,paper kicking ass,No Hate
3237,either fuck fuck,No Hate
3238,paparazzi please give bitch job snapping pics like america next top model,Hate
3239,pot callin kettle nigga,Hate
3240,bitch sexy tho,No Hate
3241,hell,No Hate
3242,piss,No Hate
3243,real shit,No Hate
3244,nigga,No Hate
3245,ive never sucked dick bet sucks dick,No Hate
3246,holy shit dude grow next power pl,No Hate
3247,might bitch fit sick bullshit wanna talk blow fuck,Hate
3248,ugh found writing tough road hoe caught hit send,No Hate
3249,hell come trigonometry shit makes sens,No Hate
3250,tee shirt hel,No Hate
3251,lmao knew shit would happen people need control behavior honestly disgusting sh,Hate
3252,hell say julia way,No Hate
3253,watched dragon age redemption awesome u kick ass ladi,No Hate
3254,shit cant take public haha im di,No Hate
3255,hell freedom continue deny rights lgbt people punish support,No Hate
3256,rhinos asses dc thank lord giving us instruction rule animals land sea,No Hate
3257,sometimes teenagers really scare living shit like anyway,No Hate
3258,scary shit,No Hate
3259,ohhh days til hell lol,No Hate
3260,reading fag power owning running church america,Hate
3261,people demand act reduce gun violence work us damn jobs f ck,Hate
3262,ways piss chicagoan,No Hate
3263,damn ulta nyx macaroons lipstick,Hate
3264,goaaaallllllllll fuck yes go home us,No Hate
3265,parent mom parent see like day lucky fuck,Hate
3266,hell would take stafford,No Hate
3267,agree aleks backed kind bitch move ask,Hate
3268,talking head dnc shill hell would even pay attenti,No Hate
3269,sending vacation pics father give shit,Hate
3270,doug shows hell reffing high school gam,No Hate
3271,appreciate new rule fucked call dud,No Hate
3272,yeah im getting nervous personal shit comput,No Hate
3273,u got shitty weather illinois miss texas heat,No Hate
3274,got caught office holy shit finale yessssss,No Hate
3275,shit paid program,No Hate
3276,dear starbucks call sizes small medium large feel like pretensious prick ord,No Hate
3277,took damn time bullshit,Hate
3278,fuck type monster lives hous,Hate
3279,hell everywhere inbetween,No Hate
3280,also fucked yearold antibotics lost year old dec st curruption greed yodi,Hate
3281,chelsea handler hits back heather mcdonaldu boss hell claims u readu,No Hate
3282,best relationship matches single people shutting fuck wish singl,Hate
3283,hate shit stop immediately time enjoy monica gigi wrote stori,Hate
3284,hell tim,No Hate
3285,nice pussi,Hate
3286,yeaa shit sell internet like aint legit ecspecially big offers deals advertising shit,No Hate
3287,jackass officially dumbest movie ever seen even worse napoleon dynamite hard,No Hate
3288,one time crazy lady came mine threw papers shelves yelled pick shit pick fucking shit,No Hate
3289,stupid stupid stupid counselor advisor jackass head jackass stupid,No Hate
3290,shitty boring haunted either really interesting escape tour neat hearing stori,No Hate
3291,great job ruining game feel good oh answer people kiss ass,Hate
3292,fucking losers said fame would ride sunset fuck,Hate
3293,time ta fuck commas yeah,No Hate
3294,told u complain good bettr need bitch,No Hate
3295,well shit see cant get enough lol,No Hate
3296,twitter acting like assclown day grrrr assclown always fun say,No Hate
3297,lest nylon velcro suffocate ars,No Hate
3298,jewish culture phone auto completing gd fuck dawg,No Hate
3299,vr yachts cool af know guy china whose family builds yachts sh ask vr,No Hate
3300,wonder smells kike etymolog,Hate
3301,getting harassed need put end lovely wise quote let hell break los,No Hate
3302,obama pissed think first,Hate
3303,done wit dis basic shit u must go,Hate
3304,main ones posting shit like eat wit niggas starved ride niggas walk,No Hate
3305,high school hell start h coincidence think,No Hate
3306,shit hard,No Hate
3307,lol damn,No Hate
3308,mean saying complete shit cut,Hate
3309,end day made challenge trending made finale interesting show fuck hat,No Hate
3310,hell sale coca cola pebbled green pitcher betsstuff via,No Hate
3311,go alone ass gotta br,No Hate
3312,fuck boi fuck boi fuck boi,No Hate
3313,using dominant mean want secret fuck puppet without actually giving relationship,No Hate
3314,hell yeah,No Hate
3315,fuckin fuckin fuckin front xd,No Hate
3316,puberty slapped shit outta,No Hate
3317,haha hell get comedy made mockery yes said best c tim,No Hate
3318,corey picks tonight actually win shit eff,No Hate
3319,shit see tv late night f pajama jeans get free crewneck te,No Hate
3320,another day forward queens v bitch,No Hate
3321,playing mario missed platform said bad shit,No Hate
3322,im pretending enjoy american soccer games suck dick otherwise great,No Hate
3323,n people wonder im sucha bitch l,No Hate
3324,wait talk lot shit step ring let knock make guaranteed sign,No Hate
3325,fucking money totally agree whale current tally fucks gi,Hate
3326,get yo weight lil nigga,Hate
3327,getting ass kicked trying get back school routin,No Hate
3328,dayforexpelledmoviepremiere hell yes gonna epic movi,No Hate
3329,entire state tn gonna shit faced tonight,No Hate
3330,snap could stop giving fuck like yesterday still alright fuck people stay calm,Hate
3331,dre cube nwa predator probably cube best album death certificate shit,No Hate
3332,hashtag faggot,Hate
3333,know story gonna good starts okay slut back hom,Hate
3334,well ive sold soul devil wonder get snow cones hel,No Hate
3335,son piss babi,Hate
3336,karmas bitch,No Hate
3337,impatient jumping shower also spelled humping first,No Hate
3338,birthday bitchessss,No Hate
3339,go live lala land wish nothing best ill watch hell called lif,No Hate
3340,cracker,Hate
3341,fake till make shit work fake smile alright end day true sad feelings dont play,No Hate
3342,wowww piece shit ass wayne state cancelled marketing class need take summ,Hate
3343,always portrayed pretentious dicks tv delight though might spent even,Hate
3344,gotta shitting word,No Hate
3345,sorry cut bull shit pleas,Hate
3346,ruining lives breaking couples friendships shit,No Hate
3347,watching people dance like fuck coordination ha h h,No Hate
3348,someone said word butter orb dick mov,No Hate
3349,wanted numb inside leave matter fucked get theres always hell come back,No Hate
3350,uh ridiculous ok go go go go go go shit,No Hate
3351,stfu survive seasons hell hospital shit,No Hate
3352,rep proved ignorance non american non democracy stance ass suck ability hendrix media kh,Hate
3353,awe fuck bitches sweetheart feel lucki,No Hate
3354,stop hanging friends hang significant fuck,No Hate
3355,seems like would bitch,Hate
3356,ask people call whore yet send naked pics every boy floyd county wants se,Hate
3357,lol want pet direwolf game thrones show books amazing love tyrion bastard danearys aryia,No Hate
3358,dont fucking fuel bden said im fuck,No Hate
3359,hell sale hollycraft fruit salad earrings betsstuff via,No Hate
3360,claire def one fave characters show damn actually super annoying tim,No Hate
3361,tru dey thinking fuck,No Hate
3362,ygs day used give damn need gave fukk,Hate
3363,annoyed wake early go school one minute class go hom,No Hate
3364,great article reading dunning kruger effect nobody knows hel,No Hate
3365,ya pete everything works except nd transfer cause camera angles fuck,No Hate
3366,hell guys wait give warning least day adv,No Hate
3367,sure wait till hell freez,No Hate
3368,theatre final terrible fuck terribly broke character false moustache fel,No Hate
3369,trying pull drama fuck shit like band member bad friends lick dick bitch,Hate
3370,trying pull drama fuck shit like band member bad friends lick dick bitch,Hate
3371,fire alarm myers poor athens fire department getting tired shit uga stud,Hate
3372,even know word fucking means upsets much,No Hate
3373,would want go impact tapings shitty bound glori,No Hate
3374,envious society bitch bitch kool fvck,Hate
3375,weekend im going tell boss go hell good hope work,No Hate
3376,tori kelly shit rn,No Hate
3377,yea suspicious saw shit g sheep reading gave creeps r u one fck,No Hate
3378,saw mentions immediately went holstein based shit talk,No Hate
3379,hunting shitty practice could someone condon,No Hate
3380,lambert timing shit,No Hate
3381,hope knows air conditioner hell different levels get real hot spot,No Hate
3382,dlisted hot slut day,Hate
3383,wife raped tortured lately shut hell sick man,Hate
3384,god hope anivia gets vu soon csing hel,No Hate
3385,think people wake say think pissy bitch everyone today everyday,No Hate
3386,season episode minutes recognize sexy bitch anywher,No Hate
3387,oh hell many level,No Hate
3388,jacob girl hardest shit ever clu,No Hate
3389,bernie fighting equal rights trump busy stuck ass going bankrupt,No Hate
3390,attn needs help taking shit,No Hate
3391,put makeup fuck lost stats got sorry bro,No Hate
3392,damn bro might dropping hints long john,No Hate
3393,karma bitch perez,No Hate
3394,many peoples mothers last night damn,No Hate
3395,groovin song smooth shit let know fuck wit verse hurd,No Hate
3396,dear fed ex fuck package seriously athens small town take long,No Hate
3397,realized people closest love pieces gone tough shit breaks heart,No Hate
3398,stephen miller schools new york times reporter immigration via give hell stephen mil,No Hate
3399,becky fucked shit nightw,Hate
3400,went interviewed ton horribly traumatized young kids news ratings fuck,No Hate
3401,cutest human ever fucking sweaaaarrrr want mineee fuck love damn much,No Hate
3402,good hear cancer bitch,No Hate
3403,say ya bullshit spend bitch,Hate
3404,really want get rescue horse finally leave godforsaken shithole move keep oxygen,No Hate
3405,killed spiders today could say kind bad ass,No Hate
3406,trying best keep wrist still start whining like little bitch lol,No Hate
3407,hell got two guys jason rogers hardly anything bigs compared scoot,No Hate
3408,fuck yeah,No Hate
3409,oh thought whole reason stop spoilers pissed post,No Hate
3410,gotta put mind shit cancel school,No Hate
3411,omg bitchass woke early hell wth,No Hate
3412,yeah fuck,No Hate
3413,believe christopher dorner wronged corrupt ass stopped victim started killing peopl,No Hate
3414,ooooooooohhhhhh shhhhheeeeeeetttttttttt bitch,No Hate
3415,fuck dat noise da eagles nigga,No Hate
3416,share damn cherry pie wond,No Hate
3417,barked really bitchy know talking christel giving chance even say cal,No Hate
3418,damn woken fucking morning bear motherfucker whatcha get chrissyma,No Hate
3419,thought crazy saw bitches act,Hate
3420,get shit bae calling trouble smdh,No Hate
3421,seriously ff real actual game made year like level sexist bullshit still allowed mad,Hate
3422,defense basic b tch lif,No Hate
3423,go outside risky shit die stay inside day still di,No Hate
3424,weekend oh wait work school shit,No Hate
3425,wow hear powerfully explain slut shaming becomes victim blaming via,Hate
3426,liked video kid rock never met motherfucker quite like official video,No Hate
3427,day without women protest wtf world insane get fuck work,Hate
3428,dick mvp,No Hate
3429,seen kick ass wake call video,No Hate
3430,oh god dardoch called random player bad holy shit dude psychopath please suspend indefinit,No Hate
3431,element mean hell y,No Hate
3432,jeffrey kegolis yogesh kumar drinko de mayo jack bauer let play damn gam,No Hate
3433,bitches getting sitting around wait pick slack hopefully get,Hate
3434,karma bitch sweeti,No Hate
3435,well fuck,No Hate
3436,love brother gets people pissed online haha,No Hate
3437,cuzz use gay shit u bitch n person,Hate
3438,way get vaccine shiz recent pretty sure exposed ebola get,No Hate
3439,think relationship waterdrop whore soapdrop think happens drop soap put drop wat,No Hate
3440,feel like f g giving year started amazing went hell starting june july every year think bett,No Hate
3441,definition hel,No Hate
3442,want go bed shit,No Hate
3443,please shit talk know secrets make blood boil,No Hate
3444,c would much less pain ass ch single letter character english ditto sh,No Hate
3445,unique authority plunder hell area hell plundered amen,No Hate
3446,hey jameson nagle hell froz,No Hate
3447,hoe cause boyfriend wants scary cause dont talk shit like ugly cause like grow,No Hate
3448,sad seeing someone talk much shit person going hang,No Hate
3449,breaktime dance party time damn mind work much mus,No Hate
3450,fuck want pat back fucking job,Hate
3451,see face looks like brother law trying put ass,No Hate
3452,liked video f ck society mr robot,No Hate
3453,think spoken single senior gives shit fin,No Hate
3454,hell watch,No Hate
3455,movies suck ass,Hate
3456,fuck shit y,No Hate
3457,fault get butthurt easily save shit pillow,No Hate
3458,sarah sent snap chat snake actual fuck friend,No Hate
3459,shows got twist mcdo twister fries holy fucking shit annalis,No Hate
3460,like think walter white shit give homeless man drug,No Hate
3461,amount energy expend trying hide block stupid fucking pyramid scheme mlm shit fb friends po,No Hate
3462,beat goin take pill disappear drinking beer tryin get fuck,No Hate
3463,damn oven,No Hate
3464,bitch nigggga thats shit dont likee,Hate
3465,alright american beauty show get ready car full shit show,No Hate
3466,fuck boy boyfriend,No Hate
3467,um ya hell morn crypt copy robin hood ccrreeaakkk night world ssllaaammmmmmmmm,No Hate
3468,hell going gam,No Hate
3469,return hell kidding serve enemi,No Hate
3470,god hate fucking much everlasting grenade sensitive fucking twat,No Hate
3471,ppl give one shit bout life unless good enough go gossip,No Hate
3472,watch porn lol shit suspect man photos kim k gabrielle union excite web p,No Hate
3473,someone today like marilyn monroe hoe said yes classiest hoe u ever se,Hate
3474,sure fuck ouch,No Hate
3475,hell live w lying hypocrite women,No Hate
3476,schitt creek shit,No Hate
3477,angelina jolie bad bitch,Hate
3478,soo creepy people reblog ure gonna die hours u dont reblog pic pic somethin scary shit gonna get u,No Hate
3479,accurate fuck lol,No Hate
3480,order coffee extra extra extra cream fuck bother gross,No Hate
3481,clean shit tomorrow issa,No Hate
3482,omg tweet r goldman sister showed tl w watching creepy shit,No Hate
3483,dead ass crying ilysm,No Hate
3484,love hell back ud dudc,No Hate
3485,least things looking good us moving house soon shitty landlord awful neighbors miss ya,Hate
3486,cause matty mullins massive cock munch,Hate
3487,wow im bitch apparently always like im ready tonight,No Hate
3488,foto fuck amp g,Hate
3489,peak america incoming calls telemarketers trying sell shit need outgoing calls ar,No Hate
3490,fuck tells whole world,No Hate
3491,free nigga,No Hate
3492,unfortunately yahoo fantasy likelihood beating shit family member sortable stat,No Hate
3493,shaking sick aching pissed hell rath,No Hate
3494,lol buying random shit,No Hate
3495,still pissed black man actually sat white hous,No Hate
3496,someone tell pau playoffs cant believe woke shit,No Hate
3497,listening nurses bitch day entertain,Hate
3498,careful guys kicked ass dream last night,No Hate
3499,damn overnight went hot humid shorts tank top cold freezing sweats hoodie whatz,No Hate
3500,scale pissed would katie woke said santa cam,No Hate
3501,fascinating glimpse afghanistan taliban hell short skirts flash,No Hate
3502,holy shit,No Hate
3503,bitch always goofing around,No Hate
3504,virgin mary heard song mary know super offended like shit,No Hate
3505,know spun also shit gotta catch soon dancing ass steep step,No Hate
3506,survived night hell paper writing day hell paper reviewing stats test,No Hate
3507,procrastinating little shit head clap hand,Hate
3508,listen kiddo cant stop life screwing know feel like hell right pass promise surviving jack,No Hate
3509,hell yeah nice target flacco,No Hate
3510,honest real person empathy fuck someone claimed love years fucking new gf ud dud,No Hate
3511,eddie chloe episode damn boy never bad side diva pretty rud,No Hate
3512,gwen stefani debuts single used love post gavin rossdale split nobody taught ho via,No Hate
3513,really fuckin piss,No Hate
3514,really fuckin piss,No Hate
3515,also think personal hell would consist writing accounting textbook reading on,No Hate
3516,bullshit,Hate
3517,damn guess madden realistic throw tip interceptions tim,No Hate
3518,shit still pisses pushed point mad anymore mental health,Hate
3519,oh sh moment oregon gets yet another intercept,No Hate
3520,hell yeah would,No Hate
3521,psn still people get shit fixed ffs tired incompet,No Hate
3522,hell nah,No Hate
3523,got high ass hell last night fuck,No Hate
3524,kind really dont want lany orlando tomoz shit happen,No Hate
3525,fuckin shit done chi ready back island,No Hate
3526,real class smh maybe one day karma come back bite ass maki,No Hate
3527,miss prick,No Hate
3528,test pushed back wednesday yesssssssssssssss bitch yessssssssss,No Hate
3529,blocking like another slap face proving give shit,No Hate
3530,know show forever time slut,No Hate
3531,support trumps immigration policy reform asses forced political seat,Hate
3532,always end sick much shit get don,No Hate
3533,see exactly shit talking better eyebrows ud dude smh,No Hate
3534,say dumb bitch,No Hate
3535,know mic best knew said god damn talked fast,No Hate
3536,fucked twic,No Hate
3537,rima ud dude send pic sched nigga,No Hate
3538,hoping shit wowwed minutes curtain,No Hate
3539,late check posting piss governor football fields w,No Hate
3540,shit got stop,No Hate
3541,going say time top b tch sign put damp,Hate
3542,nance simms takes mannings ck mouth tim,Hate
3543,xox indulging yesterday next time know handle shit better thanks fans peacexo,No Hate
3544,damn sandy sure noisy bitch sounds like ready damag,No Hate
3545,chanel makin watch inbred shit sick person,Hate
3546,caveman bludgeoning way hold good shit congrat,No Hate
3547,fuck courtney punch,No Hate
3548,shut hell lmao chick work weak lol,No Hate
3549,got home running errads literally scared shit dads dog,No Hate
3550,added video playlist david banner says f ck nfl gives secret black success,No Hate
3551,judas priest tonight defenders faith hell bent leather living midnight breaking law,No Hate
3552,damn girl cute chuuuuuuu,No Hate
3553,robert barroso mother stephen getter hope rots hell son getter spend lif,Hate
3554,fuck y,No Hate
3555,life throws curve ball never goes back way stress yrs shit,No Hate
3556,rd fucking time want friend benefits boyfriend fuck,No Hate
3557,get daddy started got kids extra bitch status,No Hate
3558,spent weak working word research paper computer wants freeze delete beyond piss,No Hate
3559,damn prince year getting crazy rip,No Hate
3560,yesterday million yrs ago past lives played asshole found almost late amp earth seems oblivi,No Hate
3561,trying scratch bug bites hel,No Hate
3562,freedom ability tell fucking tool,Hate
3563,damn want candy ass donut,No Hate
3564,consumed madness king trump kind sh really happen,No Hate
3565,mad hell cottonmouth cousin kil,No Hate
3566,post pic hoe barely know looks lik,Hate
3567,flip shit make everyone quiet hardcore jam sess,No Hate
3568,tyson chicken hiring hr told experience handling cocks well start monday,No Hate
3569,honestly sick everyone last priority shit gets old,No Hate
3570,gynecologist put know pussies se,No Hate
3571,cutest human ever fucking sweaaaarrrr want mineee fuck love damn much,No Hate
3572,yes hell even love love many oth,No Hate
3573,fuck yeah,No Hate
3574,another coke whor,Hate
3575,people arrested least shit happens really understand people dicks guy,No Hate
3576,ho become go,Hate
3577,say heads buried sand least stuck fox newses ass,No Hate
3578,sean connery vs cock,No Hate
3579,imma need jeans back kno dey stretch damn u wear size u shouldnt tryin squeeze s,No Hate
3580,hell read,No Hate
3581,love google info cuz know shit omg wonder ahead lack intelligence mayb,No Hate
3582,head pounding damn oberon,No Hate
3583,except take k asshat,Hate
3584,usually drink send shit planets stay curious friend,No Hate
3585,walking hell smile fac,No Hate
3586,oxycontin smoking song always shit dont forget sho many class,No Hate
3587,like unfriended trying see bullshit anymore thank,No Hate
3588,pass total bullshit bullshit peopl,Hate
3589,ps b stood bitch britt,No Hate
3590,nigga,No Hate
3591,thats ill shit,Hate
3592,hate piece shit,Hate
3593,took video jasper leaping feet try get grasshopper window impressive shit flickr tomorrow,No Hate
3594,like bitch shaylor shamila ew,Hate
3595,hell ya love show lov,No Hate
3596,also ruined lunch damn,Hate
3597,shit still moo,No Hate
3598,obama knowledge apparent serious treasonous leaks media time get asses dc,No Hate
3599,roy moore rock bottom republicans hell via,No Hate
3600,melanie better like stfu shit alreadi,No Hate
3601,feels good work done burlington one hell weekend,No Hate
3602,hard grateful family shitty peopl,Hate
3603,mr p element beach bar blue bitch st maarten,No Hate
3604,uso use word nigga refer disgrac,No Hate
3605,nigga came yard foot steps led ashtray lookin clips nigga huh,No Hate
3606,know many calories sodamnrelatable know many fucks g,No Hate
3607,watching favorite movie fuck movie miss point book,No Hate
3608,hell get hutchinson radio stations wellington rene,No Hate
3609,lmao people crying wondering hell girls generation maybe vot,No Hate
3610,serious though lol nah steal ideas hell plan,No Hate
3611,hell yeah thought showing length snake nah,No Hate
3612,birthday bitch,No Hate
3613,bitch,Hate
3614,ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass,No Hate
3615,ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass ass,No Hate
3616,talked twc got bullshit care losing custom,Hate
3617,thanks nerfing turrets multi trying make game bad already bitch play w garbage commun,No Hate
3618,fuck,No Hate
3619,another dumb ass tim know software works get head right,Hate
3620,theres special place hell people shit public porta potti,No Hate
3621,liked video bitch new,No Hate
3622,hate checkin store ppl behind items look pissed dedicated line kick rocks xpress,No Hate
3623,shitty thought exactly damn year going change shit,No Hate
